Point_ID,Output
1,0
2,0
3,1
4,0
5,1
6,0
7,1
8,0
9,1
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,1
20,0
21,0
22,1
23,0
24,1
25,1
26,1
27,1
28,0
29,1
30,1
31,1
32,0
33,0
34,1
35,0
36,0
37,0
38,0
39,1
40,0
41,1
42,1
43,0
44,0
45,0
46,1
47,1
48,1
49,0
50,1
51,1
52,1
53,0
54,1
55,0
56,1
57,0
58,0
59,1
60,0
61,1
62,0
63,0
64,1
65,0
66,0
67,0
68,1
69,0
70,0
71,1
72,1
73,1
74,0
75,1
76,0
77,0
78,0
79,0
80,0
81,0
82,1
83,0
84,0
85,1
86,0
87,1
88,1
89,0
90,0
91,1
92,1
93,0
94,0
95,0
96,1
97,0
98,0
99,0
100,1
101,0
102,0
103,1
104,0
105,0
106,0
107,0
108,1
109,0
110,0
111,1
112,1
113,0
114,0
115,1
116,1
117,0
118,0
119,1
120,1
121,1
122,1
123,0
124,0
125,1
126,0
127,0
128,0
129,0
130,1
131,0
132,1
133,1
134,1
135,0
136,0
137,0
138,0
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,0
147,0
148,1
149,1
150,0
151,0
152,0
153,0
154,0
155,1
156,0
157,0
158,1
159,0
160,1
161,0
162,0
163,0
164,0
165,1
166,0
167,1
168,0
169,0
170,1
171,0
172,1
173,1
174,1
175,1
176,1
177,0
178,1
179,0
180,0
181,0
182,1
183,0
184,1
185,0
186,0
187,1
188,0
189,1
190,0
191,0
192,0
193,0
194,1
195,0
196,1
197,0
198,0
199,0
200,1
201,0
202,0
203,0
204,1
205,0
206,0
207,0
208,0
209,1
210,1
211,0
212,0
213,0
214,0
215,0
216,1
217,1
218,0
219,1
220,0
221,1
222,1
223,1
224,0
225,1
226,0
227,1
228,1
229,0
230,0
231,0
232,1
233,1
234,0
235,1
236,1
237,1
238,0
239,1
240,1
241,0
242,1
243,1
244,1
245,0
246,1
247,0
248,1
249,1
250,1
251,1
252,1
253,0
254,1
255,1
256,0
257,0
258,1
259,1
260,0
261,0
262,0
263,0
264,1
265,0
266,1
267,1
268,1
269,0
270,1
271,0
272,0
273,1
274,0
275,0
276,0
277,0
278,0
279,1
