Point_ID,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,Feature32,Feature33,Feature34,Feature35,Feature36,Feature37,Feature38,Feature39,Feature40,Feature41,Feature42,Feature43,Feature44,Feature45,Feature46,Feature47,Feature48,Feature49,Feature50,Feature51,Feature52,Feature53,Feature54,Feature55,Feature56,Feature57,Feature58,Feature59,Feature60,Feature61,Feature62,Feature63,Feature64,Feature65,Feature66,Feature67,Feature68,Feature69,Feature70,Feature71,Feature72,Feature73,Feature74,Feature75,Feature76,Feature77,Feature78,Feature79,Feature80,Feature81,Feature82,Feature83,Feature84,Feature85,Feature86,Feature87,Feature88,Feature89,Feature90,Feature91,Feature92,Feature93,Feature94,Feature95,Feature96,Feature97,Feature98,Feature99,Feature100,Feature101,Feature102,Feature103,Feature104,Feature105,Feature106,Feature107,Feature108,Feature109,Feature110,Feature111,Feature112,Feature113,Feature114,Feature115,Feature116,Feature117,Feature118,Feature119,Feature120,Feature121,Feature122,Feature123,Feature124,Feature125,Feature126,Feature127,Feature128,Feature129,Feature130,Feature131,Feature132,Feature133,Feature134,Feature135,Feature136,Feature137,Feature138,Feature139,Feature140,Feature141,Feature142,Feature143,Feature144,Feature145,Feature146,Feature147,Feature148,Feature149,Feature150,Feature151,Feature152,Feature153,Feature154,Feature155,Feature156,Feature157,Feature158,Feature159,Feature160,Feature161,Feature162,Feature163,Feature164,Feature165,Feature166,Feature167,Feature168,Feature169,Feature170,Feature171,Feature172,Feature173,Feature174,Feature175,Feature176,Feature177,Feature178,Feature179,Feature180,Feature181,Feature182,Feature183,Feature184,Feature185,Feature186,Feature187,Feature188,Feature189,Feature190,Feature191,Feature192,Feature193,Feature194,Feature195,Feature196,Feature197,Feature198,Feature199,Feature200,Feature201,Feature202,Feature203,Feature204,Feature205,Feature206,Feature207,Feature208,Feature209,Feature210,Feature211,Feature212,Feature213,Feature214,Feature215,Feature216,Feature217,Feature218,Feature219,Feature220,Feature221,Feature222,Feature223,Feature224,Feature225,Feature226,Feature227,Feature228,Feature229,Feature230,Feature231,Feature232,Feature233,Feature234,Feature235,Feature236,Feature237,Feature238,Feature239,Feature240,Feature241,Feature242,Feature243,Feature244,Feature245,Feature246,Feature247,Feature248,Feature249,Feature250,Feature251,Feature252,Feature253,Feature254,Feature255,Feature256,Feature257,Feature258,Feature259,Feature260,Feature261,Feature262,Feature263,Feature264,Feature265
1,35550,33079,-4897,-30403,15924,9418,-39720,-16061,-32036,21717,17709,12220,16905,-16541,11021,-17400,-24453,42863,23548,1284,-42067,-1732,1053,-39334,28591,-14989,-2797,15645,-242,16918,14469,693,27143,2119,-8520,-3886,-22678,12422,-8290,-2264,-34509,2894,24676,-19112,12069,42366,-1387,35674,20663,41131,-26075,-17501,20159,8538,-366,-20548,-14461,10165,10966,-10389,-39980,-5746,19749,-2646,-16890,-16473,-16527,8227,9810,2325,-51095,7559,43669,40704,-18980,-12807,-26650,18820,37766,-32736,18612,3403,-16289,-35171,37597,10224,-10847,-26478,-16929,-19139,26508,-6877,12015,18157,24932,58169,16686,17362,-19272,-8778,19010,10846,-18754,27354,-12633,-33819,26740,22153,7732,16113,2224,11471,-6358,-34527,-4364,-31339,-20710,-17010,-42627,13218,-19941,-48419,-4468,-16390,9462,-65840,-15665,-33364,49613,1791,-18246,51600,3527,-28779,-38693,-34243,-7268,3470,1095,23125,-52523,168,-5663,29809,10898,22614,2203,17230,-6266,-3681,19145,-8895,19835,70620,-15410,23875,-6233,28575,-56423,-17499,18801,-3329,38379,16828,20629,-26776,-15121,33269,-12917,-28264,-3595,31120,-21060,34121,-7447,17495,19119,23460,-6685,36006,-17921,46197,14591,67319,-31094,-7037,39030,33979,-46278,-21115,23120,-11042,23069,2229,11900,10631,11900,-11518,-11353,-8920,29243,-1334,5291,-7797,31608,-38517,-14643,-3796,23986,8297,-9607,-5103,30574,3242,2635,7318,-20146,-1394,-27820,-69969,-3021,-1489,5995,-11634,-44265,-22526,47358,53500,-36696,-11952,27648,-23250,11613,37031,19392,7659,10014,-33613,25464,2040,-44936,-34418,-3598,-47056,4964,-17513,-8743,-48169,10900,-509,-4076,35528,19214,-14462,48310,29651,3798,-49232,-9669,6269,11094,-13834,-23809,-13390,-17590
2,34101,32350,-1766,-33136,15854,7562,-37091,-21260,-29681,20201,18792,15355,11356,-13546,12291,-17046,-23372,42588,21107,4060,-39159,-1187,-2334,-40379,26332,-20922,1536,17134,3738,15115,17729,1492,29263,-1301,-8083,-835,-21293,8845,-8374,-955,-36677,4902,26314,-19061,15792,41690,36,34269,17929,43050,-27183,-16786,19565,11792,-2920,-18550,-14121,7942,8662,-12074,-37972,-9867,20354,-9098,-18202,-10258,-17339,3750,10648,1270,-55355,7174,44341,32500,-20283,-14082,-29615,16940,34998,-31761,22387,5768,-15395,-37183,33243,9179,-9114,-24497,-16750,-18401,27042,-2384,7268,16549,24534,58201,12905,13599,-17742,-8815,15843,9761,-16965,29501,-11422,-35229,24131,24283,3580,14445,4999,7909,-671,-30509,-7802,-28628,-22640,-23153,-45079,14668,-17062,-51049,-1605,-12052,7492,-67940,-13406,-35103,44251,-4227,-16299,52485,2001,-24577,-41656,-33923,-8177,1684,2419,16186,-55063,2969,-1675,28198,8879,24566,5463,16161,-2872,-3872,15810,-10602,17389,73529,-9098,24427,-10623,25922,-56398,-20643,18735,-4836,35637,13089,18446,-25005,-15759,29134,-11142,-26159,-4615,28547,-21085,34395,-4832,16662,18126,23234,-10168,33792,-19192,43958,9539,69172,-28879,-2680,39975,30359,-44143,-19238,21608,-12176,23384,4387,13143,15734,16142,-7814,-14192,-8469,27684,2125,8705,-5340,30675,-35587,-14303,486,20732,4851,-10093,-713,28151,4789,2633,6708,-21438,496,-27537,-66745,-2010,2693,8534,-6756,-45762,-22924,43280,51899,-35362,-7990,25641,-25102,14021,35967,12493,3625,11272,-34722,34481,6076,-45553,-34020,-4240,-47393,3675,-12908,-9821,-42840,9480,-1191,-4128,39514,21172,-14437,49084,30401,5877,-42665,-10240,5483,11420,-17834,-26826,-11897,-16877
3,37091,31656,-6619,-32791,17428,12079,-38921,-16175,-31859,19437,18184,6675,15646,-15483,11075,-15804,-26094,40750,25456,5305,-47555,-840,-2486,-42149,26960,-18872,-4475,17292,3072,20259,15005,3634,24375,3028,-11535,-2408,-20686,8388,-8932,619,-37308,725,23166,-17752,15694,41222,-5305,34359,21513,40380,-26156,-18024,20352,7657,-3535,-20338,-14554,9688,10137,-11276,-37857,-10921,19849,-5528,-15480,-13771,-21027,5836,6273,733,-52568,8926,44776,37847,-19001,-15961,-25591,19985,39246,-34334,19977,3623,-14325,-36625,36267,8025,-14326,-29541,-21411,-18046,25983,-6766,13250,18528,25048,56752,15680,14757,-18102,-9825,18952,8429,-15323,28572,-12303,-32703,26820,20702,5573,13685,4378,10865,-2115,-31667,-5022,-26646,-20912,-19130,-41615,10749,-18675,-52295,-2461,-14810,3290,-65151,-11871,-34272,47858,390,-15891,50066,5031,-29375,-39120,-31148,-4890,4479,-1233,17890,-50801,1304,-2625,31263,8874,25193,7625,16290,-5130,-3462,19165,-12091,14732,70974,-12638,21060,-5042,24368,-58694,-18989,18746,-2235,35957,17898,19794,-23964,-15497,31456,-14209,-29326,-2873,33640,-25164,36301,-8826,19221,20264,22764,-5541,33527,-15796,46923,13490,66083,-30733,-5110,39783,32415,-44141,-17398,22704,-12592,23205,1051,9131,11379,14638,-11789,-10508,-7520,27639,-1395,3454,-7896,33186,-36536,-15715,-1225,23674,7499,-8128,-2113,31166,2280,3508,5265,-19156,1890,-32125,-70180,-4231,-213,9468,-11509,-43223,-22724,48231,53494,-34083,-11564,25839,-23968,15478,35758,16207,6189,9878,-30422,30484,3032,-46964,-35613,-930,-47344,6685,-16387,-13461,-51284,13838,-2447,-8552,37501,20676,-17409,50619,30263,3519,-49258,-9908,7745,7325,-17240,-23751,-13714,-14825
4,35793,30662,-2778,-30994,18183,10601,-41335,-16323,-32729,19422,16030,11352,15744,-11192,11171,-14340,-24946,39342,24074,1049,-44325,-1324,-3173,-40993,22556,-16162,-665,17830,-73,14277,15648,2190,20908,1301,-8952,82,-22909,11669,-5496,-33,-37874,3208,28632,-18087,17032,42303,-849,33000,20043,42823,-26974,-18966,21570,6977,-2432,-16018,-12069,7124,7751,-11295,-36917,-7584,22708,-5786,-18745,-13483,-19833,4545,9278,4528,-50457,6046,43416,36747,-17504,-12705,-27762,16716,37086,-34350,20487,3058,-15205,-37985,38100,8179,-9695,-27979,-18098,-19070,25065,-4294,10800,20962,22602,56561,12488,16202,-16455,-10844,18335,12308,-22255,33693,-11265,-34089,23968,20109,4597,16291,3459,8537,-4452,-33002,-8414,-27777,-21926,-18851,-43947,10724,-19594,-54761,-2556,-15579,7692,-67730,-13899,-33013,51423,699,-15672,49555,3381,-28897,-42872,-30617,-4959,3181,-313,15329,-48759,-876,-6152,28892,7140,24702,5529,14850,-5740,-3179,19948,-6887,22399,73092,-12720,26157,-5593,28089,-62742,-19589,22601,-1150,38411,16780,19873,-27065,-17545,30866,-14396,-29598,-278,34432,-21220,33408,-5444,16434,15119,24228,-7070,35342,-17309,44852,11079,64734,-31996,-7313,38065,32806,-41918,-22272,25565,-13160,24286,2196,11952,12756,14353,-8361,-11869,-8443,28135,739,6336,-8300,32170,-34202,-16363,2123,24919,5476,-10117,-4572,30847,4621,7508,3447,-19204,910,-29564,-67061,-408,553,9082,-7779,-43191,-22731,44479,51957,-38151,-10144,25020,-24189,13897,34060,16316,4307,10789,-33037,27973,5071,-46491,-33821,-1251,-51256,4940,-14022,-15015,-47643,11563,-2505,-7515,38192,20799,-13195,50754,29097,5017,-46545,-9843,4460,7800,-18842,-27675,-11866,-13892
5,35516,31157,-2849,-32511,19731,10769,-38021,-19110,-32680,21183,17527,9164,13905,-15184,11662,-17236,-25421,40035,21451,7108,-42061,-2346,-924,-40148,27521,-21038,-1234,17835,6905,19784,16817,1926,26520,-92,-10690,-1580,-20439,7005,-11022,1110,-41642,1886,22729,-19567,17155,39650,-6058,35821,17378,42702,-25810,-19275,18463,8047,-3646,-18842,-13501,8315,9278,-11321,-36765,-11375,19140,-7033,-16096,-10378,-20130,4965,5873,-1396,-56327,9334,46655,33296,-18201,-13687,-30231,21188,38548,-33162,21107,4114,-16681,-34930,35414,8989,-10394,-26090,-18954,-17106,23952,-6154,11157,18354,22065,59477,13522,14450,-16765,-10263,17013,10274,-16825,27909,-13457,-32516,26765,20872,4167,11894,2789,9005,-2509,-30214,-7652,-28622,-23298,-21513,-42035,12857,-15270,-50696,-1829,-13903,2837,-65965,-11921,-32771,46399,-2771,-15406,51236,3295,-25066,-40898,-31140,-4464,3556,-2559,15449,-50740,1271,976,30699,9932,22503,8721,17851,-4840,-2328,15676,-10728,14355,70469,-11545,21631,-6316,21986,-58241,-21634,21140,-3941,36326,19298,20986,-23596,-13589,30600,-12226,-28154,-6788,32747,-24893,33772,-4858,16772,22782,21788,-8447,33774,-16031,43409,10167,70260,-31017,-4826,40307,30113,-45225,-17592,21948,-11592,19899,3677,10744,13909,16445,-7624,-11652,-8498,25784,-390,8483,-7641,32672,-35796,-13657,-658,23757,5018,-7659,-57,28138,1325,2989,3477,-20831,1558,-31917,-67660,-1423,-1044,9976,-8289,-44272,-22953,47412,52825,-34560,-9980,26869,-24547,15324,36121,13244,7093,12565,-32993,32000,5449,-47210,-37351,-3603,-49610,7350,-14923,-14901,-47777,14320,-1457,-7757,39384,24099,-15679,52412,32541,4618,-46013,-10502,6968,6569,-18169,-25158,-13656,-14256
6,35942,31785,-3464,-29203,11826,9525,-40152,-15740,-32527,21167,18326,10332,14716,-13520,11566,-16573,-22400,42823,24227,4944,-41786,-1321,93,-38626,26394,-15155,-3568,17533,-1153,17000,12891,28,23546,845,-7560,-4175,-23299,11284,-7656,-1769,-30937,5373,25944,-18295,12036,42629,-721,36890,20756,37857,-30445,-18889,23059,9295,-3554,-17628,-13561,9891,8854,-9857,-38679,-8064,21796,-3785,-16615,-16940,-16539,5995,6796,-2056,-50997,6593,44994,39873,-21324,-14663,-23761,19134,36486,-35809,17584,1757,-16899,-35600,36606,8830,-9018,-25172,-17433,-19187,27706,-4402,10799,18295,24064,56310,13965,17064,-19297,-10210,19816,11861,-20239,25625,-12898,-34300,29091,22873,6526,10904,4224,11749,-2038,-35607,-7053,-26095,-22657,-15161,-42802,14289,-20520,-48560,-6271,-17930,6636,-65223,-13529,-34639,49741,2436,-16348,52710,4207,-26810,-36551,-30785,-7002,452,2560,19445,-51261,-1418,-3832,25704,9007,26729,7856,12627,-7380,-4068,18406,-10378,22554,72802,-13863,20869,-5583,30695,-58837,-17026,19929,853,37254,17198,18169,-26319,-16415,35240,-13044,-29080,-4806,31030,-21321,34329,-7285,16202,18861,23071,-4268,31410,-19879,47731,14472,65898,-32989,-4476,38446,33686,-44272,-17348,27091,-7861,23228,3923,16849,11006,13526,-11740,-14549,-6951,24941,-1105,4446,-6841,30835,-37090,-15638,-1749,22280,7869,-9136,-9854,28749,1227,4094,6699,-18686,-1889,-29145,-65384,-752,-575,4691,-8938,-39223,-22704,46194,52247,-39637,-7183,27077,-22869,11121,33394,17995,8264,11296,-32541,26818,3146,-45157,-33856,-2962,-45494,1737,-14821,-8130,-50888,9402,-3342,-5391,37993,21866,-13760,47233,32217,4251,-50490,-14072,5584,7978,-12236,-23500,-13107,-17703
7,32116,33829,-1866,-29663,12625,7681,-39788,-16512,-28276,19002,18518,10794,12384,-12870,8504,-16241,-20643,42345,20501,1881,-42454,-29,-2861,-39028,24043,-15733,-1699,17296,-1065,13869,13171,-1284,25125,1824,-7478,-1123,-23104,8922,-8692,-701,-35865,4047,30472,-16830,14799,41308,230,35755,18911,42121,-26650,-19874,19354,7032,963,-17149,-14807,6764,5879,-11947,-38141,-5974,21742,-5651,-17437,-16184,-16417,5069,9308,-736,-52631,5038,43519,36109,-21038,-13044,-25818,13505,30976,-32928,17047,3616,-17379,-37580,33487,10642,-7992,-23672,-13662,-18465,26399,-1225,6243,19167,23446,54087,12754,17059,-17599,-10135,18255,15433,-23846,30657,-12133,-35636,24570,20125,6417,11407,1736,8799,-2104,-35240,-8921,-28652,-22110,-19052,-44900,12285,-15980,-51038,-2715,-17444,9092,-68015,-15071,-31786,45427,10,-12775,51309,1043,-22957,-37798,-29934,-11889,2083,1935,17763,-50630,-1369,-6775,27830,3856,22421,9142,12478,-7922,-5969,18915,-3631,21704,73078,-8132,24744,-10007,27041,-60465,-18378,19771,-3113,33116,13947,17301,-27190,-13804,30017,-13828,-28804,-1889,30222,-19575,35126,-5835,15792,13189,24840,-4623,35111,-19603,43517,11487,66817,-29633,-4820,38757,32787,-41903,-21478,22510,-8476,25455,2649,16058,13269,12966,-9972,-16186,-9064,22854,-1107,5182,-10852,31141,-32739,-14772,1225,19060,7142,-12260,-6948,24723,3655,7396,6733,-17132,563,-28675,-64884,719,-1283,7567,-9088,-46527,-22312,42430,49004,-36578,-8590,25234,-20153,13911,36957,14040,5084,10377,-30826,31046,1680,-42163,-34420,-2811,-47844,3201,-12195,-8592,-49945,8750,-1316,-8640,38993,22315,-15770,48174,30094,4066,-46233,-15273,3218,8923,-19442,-24516,-10279,-18204
8,32741,31740,-555,-29915,13866,9716,-35940,-16522,-30887,19539,17525,10559,9873,-14698,9762,-14022,-23312,39365,21182,1723,-41446,-2759,-526,-37939,24615,-17408,-2178,17009,1607,14230,13574,-29,26450,1251,-8291,-3622,-21760,7645,-9204,-199,-36384,7049,27175,-20830,13990,41501,-1503,36491,19152,38089,-27584,-18722,20114,10347,1030,-15714,-10853,6792,8063,-9313,-39292,-9201,22470,-4844,-17414,-15061,-17549,6631,8243,-2426,-52927,6728,44206,37616,-19238,-14240,-26409,15572,33219,-32923,19324,5790,-17961,-36075,35465,8801,-6764,-25933,-16514,-16426,24565,-399,9408,19101,21230,53632,12926,15429,-18938,-12063,16131,10767,-18714,29741,-11348,-34010,25276,23179,5949,11620,2448,9105,-4321,-32963,-6257,-30441,-22326,-19990,-42788,12634,-14946,-49545,-4292,-14641,5670,-67069,-14303,-31353,44816,-2481,-14649,49098,1062,-24399,-39703,-31288,-9012,1949,2460,17340,-50126,-1784,-4798,26850,6680,20777,8731,11457,-6628,-4348,16761,-7442,17215,73986,-8761,23038,-6863,24495,-56576,-21131,22989,-2465,34227,16344,17685,-25480,-11197,29391,-12160,-29351,-7187,31594,-22432,35389,-5648,15294,19505,24381,-5219,28728,-18960,42224,12524,67413,-34196,-4114,40265,28282,-45617,-17767,26186,-8302,22953,1011,13782,13259,15846,-11016,-16823,-11083,23690,1349,6220,-11296,29929,-32763,-14406,-1682,20668,4131,-8824,-7278,26731,3687,5783,5442,-18405,-424,-29994,-65315,-889,-2253,8863,-8542,-43958,-23733,43995,49623,-35844,-9386,25744,-19274,14723,32694,13887,5438,10284,-31486,30754,2408,-43807,-32895,-2379,-46092,5715,-12959,-12274,-49793,11992,1203,-6665,40771,23182,-16177,49647,31814,3130,-47079,-12534,5089,8216,-18236,-24138,-10688,-14517
9,36707,33053,-4084,-26750,15947,7226,-41326,-14560,-30473,20428,15498,10923,12883,-10607,12530,-13663,-24387,38867,21536,741,-40274,-33,-2156,-38560,23328,-15114,-1199,17757,3001,15671,15505,1622,20830,3128,-6637,-50,-23288,10687,-5815,1688,-36953,2228,26593,-20554,12512,41735,2001,33685,20536,41201,-27590,-17936,18421,5470,831,-19263,-11824,8693,3478,-13429,-37398,-2599,21940,-2867,-16335,-17656,-18526,6181,8107,2897,-50311,5493,43815,34990,-20580,-11371,-24819,18468,35494,-34561,19531,1066,-16992,-39340,37494,11928,-9706,-26737,-15596,-18234,23678,-2026,8546,20628,23133,59771,12570,15617,-17816,-8922,16258,12418,-21843,31645,-10632,-33267,23136,18858,9246,12831,4014,10109,-3249,-33826,-8579,-29377,-21622,-19019,-40801,11164,-17498,-51368,-2692,-14643,5996,-70106,-14904,-32615,50601,-140,-11650,51791,2856,-28333,-42141,-31788,-8950,1569,-3433,17512,-50179,-620,-5233,27766,8664,26165,7537,16904,-4570,-743,18827,-9244,25340,70587,-15246,23882,-9094,28803,-57405,-17124,20949,-2134,36749,13981,18186,-27042,-17777,30922,-13717,-27809,-1807,32026,-21409,34805,-6772,17890,16917,26083,-5872,34291,-20745,42688,10707,67594,-33637,-9744,37181,33873,-37190,-21125,25200,-14934,26265,2311,13561,12566,11651,-8585,-15408,-9517,24656,-41,4373,-8927,28730,-33462,-16179,457,22192,5905,-12990,-5697,27347,4133,8124,3527,-20549,193,-25579,-68935,-3834,75,8956,-8587,-44635,-19260,44577,47186,-32856,-7808,26615,-22615,12333,35319,15232,6224,8990,-33959,31012,3846,-44826,-31632,132,-49457,4814,-13334,-12290,-45973,11959,-2905,-7840,36967,23001,-14278,50821,30471,6028,-45336,-9390,2318,7297,-22309,-27278,-12615,-13598
10,31589,32757,-2481,-32858,17026,9456,-35585,-16054,-34178,21794,16436,11690,13901,-15972,12904,-16681,-22587,41761,20465,5624,-41602,-1598,-2176,-40726,28685,-16886,-3444,18122,3004,16683,12176,445,26837,-1623,-5609,-2950,-21557,11517,-8700,233,-39488,4545,23724,-19276,16171,43780,-3425,36042,20703,38868,-26518,-16108,18087,11604,-1565,-18037,-13410,7424,9123,-12517,-37619,-11565,22961,-3516,-16778,-15225,-18537,3360,7845,-1163,-50379,7339,43315,36493,-20576,-14208,-29109,13608,33568,-30774,18455,4058,-20168,-35110,35599,10004,-10218,-25929,-15684,-16540,24411,-2948,9214,19915,23110,53943,12013,12317,-19726,-11448,18001,11922,-20226,30147,-12381,-36760,24803,25431,5229,15751,2326,9171,-2160,-31886,-6500,-30507,-24181,-20844,-40768,13449,-17635,-47792,-4247,-14483,7468,-65793,-16028,-34194,46366,-896,-16288,52173,2620,-23221,-42270,-31319,-6913,3370,2703,16594,-49167,1484,-3378,26691,8309,22591,6246,14366,-8193,-2302,15929,-6425,19787,72202,-10103,22781,-6278,28427,-59013,-17629,20402,-4361,33164,13890,19972,-24052,-12947,29470,-13330,-29913,-7321,31411,-20161,36364,-7324,13243,17249,23025,-5781,34002,-16891,43049,10716,67950,-29882,-6206,39333,31961,-43848,-20265,23315,-9867,25318,4330,15528,12556,16668,-10243,-13646,-9931,23858,1990,7710,-7954,29193,-32719,-17034,1393,22089,6047,-10792,-4397,26976,3761,6577,6879,-20188,369,-30364,-65923,-1077,-304,8403,-9518,-43954,-20246,41939,49016,-40752,-10856,24634,-24426,14092,35761,12896,6449,15293,-33208,29828,1182,-44339,-34541,-1339,-47644,8705,-11856,-9656,-47577,13684,-2463,-7818,39034,21887,-16654,48713,31086,3082,-42744,-12864,5636,8838,-17480,-25611,-10520,-13098
