nn,kernel,pc,acc,
5,linear,3,0.68956743,
5,linear,6,0.7837150127,
5,linear,9,0.8091603053,
5,linear,12,0.7760814249,
5,linear,15,0.7786259542,
5,linear,18,0.7608142494,
5,linear,21,0.7633587786,
5,linear,24,0.7582697201,
5,linear,27,0.7430025445,
5,linear,30,0.7251908397,0.8091603053
5,rbf,3,0.6641221374,
5,rbf,6,0.786259542,
5,rbf,9,0.7786259542,
5,rbf,12,0.7837150127,
5,rbf,15,0.796437659,
5,rbf,18,0.7684478372,
5,rbf,21,0.7760814249,
5,rbf,24,0.7430025445,
5,rbf,27,0.7455470738,
5,rbf,30,0.7328244275,0.796437659
5,poly,3,0.6972010178,
5,poly,6,0.7811704835,
5,poly,9,0.7506361323,
5,poly,12,0.7888040712,
5,poly,15,0.7760814249,
5,poly,18,0.7837150127,
5,poly,21,0.7811704835,
5,poly,24,0.7938931298,
5,poly,27,0.7938931298,
5,poly,30,0.7786259542,0.7938931298
5,sigmoid,3,0.679389313,
5,sigmoid,6,0.7989821883,
5,sigmoid,9,0.786259542,
5,sigmoid,12,0.7735368957,
5,sigmoid,15,0.7684478372,
5,sigmoid,18,0.7531806616,
5,sigmoid,21,0.7684478372,
5,sigmoid,24,0.7582697201,
5,sigmoid,27,0.7455470738,
5,sigmoid,30,0.7124681934,0.7989821883
5,cosine,3,0.6692111959,
5,cosine,6,0.796437659,
5,cosine,9,0.8091603053,
5,cosine,12,0.7938931298,
5,cosine,15,0.7735368957,
5,cosine,18,0.7506361323,
5,cosine,21,0.7608142494,
5,cosine,24,0.7302798982,
5,cosine,27,0.7226463104,
5,cosine,30,0.7455470738,0.8091603053
8,linear,3,0.6768447837,
8,linear,6,0.796437659,
8,linear,9,0.7888040712,
8,linear,12,0.7786259542,
8,linear,15,0.7760814249,
8,linear,18,0.7684478372,
8,linear,21,0.7430025445,
8,linear,24,0.7557251908,
8,linear,27,0.7302798982,
8,linear,30,0.737913486,0.796437659
8,rbf,3,0.6564885496,
8,rbf,6,0.7811704835,
8,rbf,9,0.7684478372,
8,rbf,12,0.7735368957,
8,rbf,15,0.7811704835,
8,rbf,18,0.7811704835,
8,rbf,21,0.7684478372,
8,rbf,24,0.7633587786,
8,rbf,27,0.7557251908,
8,rbf,30,0.7455470738,0.7811704835
8,poly,3,0.6768447837,
8,poly,6,0.7735368957,
8,poly,9,0.7684478372,
8,poly,12,0.7837150127,
8,poly,15,0.7837150127,
8,poly,18,0.7938931298,
8,poly,21,0.7888040712,
8,poly,24,0.7837150127,
8,poly,27,0.7582697201,
8,poly,30,0.737913486,0.7938931298
8,sigmoid,3,0.6692111959,
8,sigmoid,6,0.8015267176,
8,sigmoid,9,0.7760814249,
8,sigmoid,12,0.7786259542,
8,sigmoid,15,0.7709923664,
8,sigmoid,18,0.786259542,
8,sigmoid,21,0.7480916031,
8,sigmoid,24,0.7404580153,
8,sigmoid,27,0.7226463104,
