Point_ID,Output
1,-306.303655839
2,-336.021275716
3,-279.574520867
4,-832.011028715
5,-275.787955131
6,-282.000985373
7,-300.027131769
8,-127.9831721
9,-102.379169469
10,-341.760996102
11,-337.60590713
12,-280.097853328
13,-276.325027701
14,-299.65844599
15,-509.092973366
16,-287.603425441
17,-306.284720108
18,-279.830887785
19,-258.738483364
20,-408.241399327
21,-295.02851482
22,-286.241871913
23,-174.281713271
24,-298.762884063
25,-426.139867721
26,-291.108451191
27,-308.442103248
28,-281.112596881
29,-454.652144441
30,-100.549476965
31,-327.314334382
32,-301.771646198
33,-89.661146496
34,-219.635127238
35,-290.173508722
36,-387.086865884
37,-328.546076109
38,-534.77681129
39,-266.702922728
40,-270.652911491
41,-306.922052843
42,-274.153030999
43,-362.457818897
44,-281.113764301
45,-303.79436478
46,-291.192296883
47,-308.181414545
48,-298.635185435
49,-325.16510293
50,-343.559988506
51,-284.272800496
52,-246.044214468
53,-273.603855527
54,-411.212411267
55,-271.852884592
56,-295.802073088
57,-453.374040798
58,-105.667388868
59,-531.312104306
60,-278.797526005
61,-383.530996968
62,-260.453824614
63,-530.501013426
64,-280.509054453
65,-271.948378177
66,-307.081775595
67,-315.318752606
68,-272.994521234
69,-303.288522283
70,-281.330106031
71,-270.655064007
72,-327.840386197
73,-394.624758461
74,-287.81835952
75,-91.2390302629
76,-627.358994304
77,-340.152370713
78,-314.10124953
79,-352.797700548
80,-594.370946891
81,-287.273010225
82,-276.314823807
83,-286.512179957
84,-298.786902797
85,-286.554171517
86,-133.127413472
87,-372.039291719
88,-286.521350724
89,-373.382096581
90,-853.744561009
91,-747.522717959
92,-361.069938573
93,-416.800683937
94,-287.082757979
95,-273.464916526
96,-102.015631037
97,-293.529955299
98,-277.061090083
99,-341.474235348
100,-284.933665198
101,-301.938554633
102,-289.398048633
103,-471.870166311
104,-311.172124221
105,-479.196366571
106,-292.142908772
107,-599.474604663
108,-288.642203073
109,-318.287795574
110,-272.944288199
111,-181.73560306
112,-293.916979083
113,-224.591024371
114,-277.285876213
115,-287.006364316
116,-328.041549556
117,-296.990765218
118,-277.460292895
119,-513.410412545
120,-280.441337822
121,-283.990032333
122,-271.21792007
123,-285.854339696
124,-350.640898169
125,-271.351345126
126,-290.254117453
127,-328.450801811
128,-309.598372674
129,-130.968078441
130,-282.938221072
131,-307.024900014
132,-306.902480553
133,-622.02743226
134,-198.377087004
135,-297.140613799
136,-283.153190649
137,-292.114795046
138,-305.311312681
139,-280.33358328
140,-354.185787962
141,-272.987603284
142,-151.533023662
143,-338.123435524
144,-973.384189633
145,-273.596639129
146,-375.021972632
147,-276.595179473
148,-311.505982192
149,-291.932102354
150,-363.014626952
151,-239.684109247
152,-273.829024999
153,-228.519776986
154,-320.262197594
155,-336.802229448
156,-406.921701472
157,-289.15583989
158,-336.56016107
159,-615.037882529
160,-360.067374248
161,-321.229153246
162,-122.820758847
163,-279.217460781
164,-125.446853638
165,-501.246617848
166,-253.958026266
167,-438.494135708
168,-286.278676596
169,-277.210475852
170,-306.325598162
171,-409.49280297
172,-299.83916317
173,-325.775886325
174,-284.715575027
175,-241.852961069
176,-297.581727496
177,-281.442131412
178,-268.261239952
179,-281.561589407
180,-303.264660524
181,-301.395880232
182,-283.727566787
183,-306.523908499
184,-280.086818158
185,-277.792795518
186,-273.437604204
187,-289.728994278
188,-388.873426964
189,-375.924054523
190,-314.731223546
191,-297.2118488
192,-259.299418449
193,-367.613196671
194,-356.437352581
195,-307.069407887
196,-331.277565565
197,-284.272041984
198,-112.503608771
199,-334.253482242
200,-265.101941365
