Point_ID,Input_1,Input_2,Input_3,Input_4,Input_5,Input_6,Input_7,Input_8,Input_9,Input_10,Input_11,Input_12,Input_13,Input_14
1,0.0000,-0.9129,-0.7687,-0.9184,-1.0078,-0.8162,0.9973,-0.6361,-0.8666,-0.8263,-1.0856,-0.7844,-0.7241,-0.8255
2,0.2083,-1.0274,-0.7687,-0.8610,-1.2305,-0.8747,-1.5063,-0.7494,-0.8104,-0.9412,0.2830,-0.7844,-0.7797,-0.9369
3,0.4167,-1.0847,-0.8283,-0.8610,-1.2861,-0.9332,1.6514,-0.8627,-0.9228,-1.0562,-0.5786,-0.8976,-0.9464,-1.1040
4,0.6250,-1.3710,-1.0669,-1.0905,-1.3418,-1.1673,-0.4289,-1.0893,-1.3725,-1.2860,-2.4267,-0.9542,-1.0020,-1.1596
5,0.8333,-1.3710,-1.1863,-1.3200,-1.1191,-1.1673,-0.8667,-1.2027,-1.5974,-1.5158,1.2659,-0.8976,-1.2798,-1.2710
6,1.0417,-1.4282,-1.4249,-1.3200,-1.0635,-1.2259,-0.0947,-1.3160,-1.3163,-1.5733,-0.6789,-0.8410,-1.2798,-1.1040
7,1.2500,-1.4855,-1.5442,-1.4348,-1.2305,-1.2844,-0.6389,-1.4293,-1.3725,-1.6882,1.4914,-1.0108,-1.3910,-1.3267
8,1.4583,-1.4855,-1.5442,-1.4348,-1.3418,-1.2844,-0.4344,-1.4293,-1.4288,-1.7456,-0.4440,-1.2938,-1.5577,-1.3824
9,1.6667,-1.4855,-1.3652,-1.3200,-1.4531,-1.1673,2.1868,-1.4293,-1.3725,-1.6882,2.2059,-1.1240,-1.5021,-1.3824
10,1.8750,-1.1992,-0.7090,-0.9184,-1.3418,-0.8162,0.3862,-1.3160,-0.9790,-1.0562,1.0041,-0.7278,-1.0575,-1.1596
11,2.0833,-0.6839,-0.3511,-0.4020,-1.0635,-0.3480,1.4907,-0.6361,-0.5855,-0.5965,0.7374,-0.5014,-0.7797,-0.8812
12,2.2917,-0.3976,-0.2914,-0.1725,-0.7295,-0.1724,1.1758,-0.3528,-0.2482,-0.3092,-0.9358,-0.3317,-0.3907,-0.4914
13,2.5000,-0.1113,-0.2317,0.0570,-0.3955,0.0032,-0.6378,-0.2394,-0.0233,-0.0794,-1.2539,-0.2751,-0.1684,-0.2130
14,2.7083,0.0032,-0.2317,0.1144,-0.1728,0.1202,-1.4287,-0.1828,0.0891,-0.0219,0.9071,-0.2751,-0.1128,-0.0460
15,2.9167,0.0604,-0.2317,0.1718,-0.0615,0.1202,-0.8618,-0.1828,0.1453,0.0355,-0.1401,-0.2185,0.0539,0.0097
16,3.1250,0.1177,-0.2317,0.2291,-0.0058,0.1202,-2.7986,-0.1828,0.2015,0.0355,-0.2556,-0.2751,0.1094,0.0097
17,3.3333,0.1177,-0.4107,0.0570,-0.0058,0.0617,-0.6999,-0.2394,0.0891,-0.1368,-1.7715,-0.3317,-0.1128,-0.0460
18,3.5417,-0.1113,-0.7687,-0.2873,-0.0615,-0.2895,-0.1736,-0.4094,-0.3044,-0.4816,0.9275,-0.5014,-0.3907,-0.4358
19,3.7500,-0.3976,-1.1266,-0.6889,-0.2285,-0.6991,0.6882,-0.5794,-0.8666,-0.7689,0.0028,-0.9542,-0.6685,-0.6585
20,3.9583,-0.4549,-1.1266,-0.8610,-0.2285,-0.8162,0.2836,-1.1460,-1.2039,-0.9412,-0.8795,-0.9542,-0.8908,-0.9926
21,4.1667,-0.4549,-1.1863,-0.8036,-0.3398,-0.7577,-1.7277,-1.2027,-1.2601,-1.1136,-0.8054,-1.2372,-1.0020,-1.0483
22,4.3750,-0.5121,-1.2459,-0.9184,-0.3955,-0.8747,0.5738,-1.4293,-1.2601,-1.2860,-0.3909,-1.2938,-1.1131,-1.0483
23,4.5833,-0.4549,-1.1266,-0.8036,-0.5068,-0.8747,-0.0118,-1.4293,-0.8666,-1.1711,0.3386,-1.4069,-0.9464,-1.0483
24,4.7917,-0.4549,-1.0669,-0.6889,-0.7295,-0.7577,0.4129,-1.4293,-0.8104,-0.9987,2.3924,-1.2938,-0.9464,-0.9926
25,5.0000,-0.5121,-0.9476,-0.6315,-0.7851,-0.6991,2.2381,-1.3160,-0.7542,-0.9987,0.9787,-1.1240,-0.9464,-0.8812
26,5.2083,-0.5694,-0.8880,-0.5741,-0.8408,-0.6406,-1.0388,-1.2593,-0.6979,-0.8838,-1.2941,-1.1240,-0.8908,-0.8255
27,5.4167,-0.5694,-0.7687,-0.5741,-0.6738,-0.6406,-0.7981,-1.1460,-0.6979,-0.8263,1.7437,-0.8976,-0.8353,-0.7699
28,5.6250,-0.5121,-0.7687,-0.5741,-0.6738,-0.6991,1.0693,-0.9194,-0.6979,-0.8263,0.0297,-0.7844,-0.7241,-0.6585
29,5.8333,-0.5121,-0.7090,-0.6315,-0.5068,-0.6406,1.7549,-0.8060,-0.6979,-0.7689,0.8907,-0.7844,-0.6685,-0.6585
30,6.0417,-0.5694,-0.7090,-0.6889,-0.4511,-0.7577,1.0694,-0.7494,-0.7542,-0.7689,1.4956,-0.7278,-0.6685,-0.6585
31,6.2500,-0.6266,-0.7090,-0.6315,-0.4511,-0.8162,0.7949,-0.7494,-0.6979,-0.6540,-0.7727,-0.6146,-0.6130,-0.6585
